epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7028,1.47674,2.29973,3.27083,1.03105,0,0.61676,0.84,0.75349,0.52676,0.61568,0.83556,0.75189,0.43889,1.04422,1.06393,2.72926,0.86016,0,0.00024,0.00024,0.00024
2,22.1293,0.99339,1.24136,1.87123,0.86705,0,0.70284,0.7989,0.80051,0.47591,0.70088,0.79668,0.79331,0.46186,0.87117,1.24797,1.65381,0.81737,0,0.0004901,0.0004901,0.0004901
3,28.665,0.8731,1.07995,1.36783,0.84567,0,0.72573,0.84,0.80342,0.61228,0.72381,0.83778,0.80201,0.54153,0.92383,0.92814,1.07977,0.84498,0,0.000729904,0.000729904,0.000729904
4,35.3865,0.88302,1.05455,1.23477,0.84377,0,0.80972,0.79435,0.85556,0.66171,0.80972,0.79435,0.85281,0.53065,0.88597,0.91535,0.92261,0.82874,0,0.000959412,0.000959412,0.000959412
5,42.0599,0.94584,0.97781,1.13877,0.84083,0,0.8173,0.7456,0.82821,0.62836,0.81388,0.73853,0.82155,0.54357,0.85271,0.97703,0.97546,0.82485,0,0.00117862,0.00117862,0.00117862
6,48.5787,0.89077,1.13404,1.1185,0.84723,0,0.79574,0.82243,0.86408,0.64964,0.79359,0.82021,0.8631,0.59654,0.91903,1.16734,0.88328,0.83392,0,0.00138754,0.00138754,0.00138754
7,54.9947,0.9319,1.30619,1.02254,0.85777,0,0.73579,0.79333,0.80996,0.54233,0.73167,0.78889,0.8022,0.46504,1.00423,1.25657,1.00506,0.84893,0,0.00158616,0.00158616,0.00158616
8,61.4005,0.94039,1.10384,1.11923,0.86715,0,0.76582,0.81393,0.84472,0.57958,0.77743,0.79175,0.83667,0.52574,0.92731,0.94514,0.8889,0.83121,0,0.0017228,0.0017228,0.0017228
9,67.9035,0.89515,0.94789,1.28791,0.85151,0,0.76582,0.81393,0.84472,0.57958,0.77743,0.79175,0.83667,0.52574,0.92731,0.94514,0.8889,0.83121,0,0.0016832,0.0016832,0.0016832
10,74.2568,0.96078,1.07684,1.11095,0.84922,0,0.80614,0.80889,0.86559,0.63852,0.81015,0.80603,0.86563,0.59206,0.84547,0.97309,0.91304,0.81799,0,0.0016436,0.0016436,0.0016436
11,80.6194,0.89864,0.99112,0.94509,0.84437,0,0.05833,0.23333,0.03609,0.0286,0.05833,0.23333,0.03609,0.02363,0.98496,1.30678,14.7237,0.85067,0,0.001604,0.001604,0.001604
12,87.0068,0.80814,0.90308,1.03999,0.83753,0,0.83229,0.78299,0.87676,0.69374,0.82758,0.77865,0.87021,0.54392,0.82024,1.12242,0.83284,0.82171,0,0.0015644,0.0015644,0.0015644
13,93.3826,0.82509,0.92407,0.98777,0.82872,0,0.843,0.73333,0.84673,0.66725,0.83966,0.72889,0.83453,0.55391,0.81477,0.89825,1.22258,0.82201,0,0.0015248,0.0015248,0.0015248
14,99.7722,0.78843,0.79098,0.94235,0.83606,0,0.83493,0.83111,0.90342,0.72392,0.8327,0.82889,0.89185,0.59512,0.77057,0.91683,0.79514,0.81932,0,0.0014852,0.0014852,0.0014852
15,106.159,0.76252,0.89491,0.85154,0.81947,0,0.83493,0.83111,0.90342,0.72392,0.8327,0.82889,0.89185,0.59512,0.77057,0.91683,0.79514,0.81932,0,0.0014456,0.0014456,0.0014456
16,112.735,0.76945,0.93508,0.83619,0.81705,0,0.84686,0.84,0.92207,0.73793,0.84365,0.83778,0.91147,0.58623,0.76533,0.92974,0.73414,0.81347,0,0.001406,0.001406,0.001406
