epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
17,119.065,0.76309,0.87193,0.86183,0.82497,0,0.83744,0.87002,0.92637,0.75223,0.83383,0.86444,0.91721,0.61824,0.76434,0.81275,0.77122,0.80972,0,0.0013664,0.0013664,0.0013664
18,125.543,0.72098,0.77522,0.80766,0.81257,0,0.84423,0.86889,0.92203,0.75762,0.83965,0.86,0.91223,0.6213,0.72404,0.82812,0.67274,0.80523,0,0.0013268,0.0013268,0.0013268
19,131.985,0.73535,0.86863,0.82481,0.82254,0,0.85028,0.86,0.9136,0.74209,0.84647,0.85111,0.90094,0.59887,0.74107,0.84186,0.68487,0.80523,0,0.0012872,0.0012872,0.0012872
20,138.193,0.76502,0.86678,0.83803,0.82365,0,0.85028,0.86,0.9136,0.74209,0.84647,0.85111,0.90094,0.59887,0.74107,0.84186,0.68487,0.80523,0,0.0012476,0.0012476,0.0012476
21,144.508,0.74748,0.75669,0.77832,0.82146,0,0.8516,0.86889,0.91553,0.71469,0.84272,0.86,0.90444,0.60082,0.80343,0.76616,0.72686,0.81319,0,0.001208,0.001208,0.001208
22,150.942,0.74578,0.78032,0.77764,0.8236,0,0.86009,0.84697,0.92594,0.73612,0.85143,0.84222,0.91401,0.62193,0.77705,0.77195,0.69394,0.81278,0,0.0011684,0.0011684,0.0011684
23,157.185,0.70793,0.7445,0.77697,0.81836,0,0.86744,0.85333,0.92657,0.74414,0.86277,0.84222,0.91523,0.62257,0.76167,0.80461,0.67249,0.81109,0,0.0011288,0.0011288,0.0011288
24,163.566,0.74929,0.78651,0.75096,0.81949,0,0.8657,0.86889,0.93153,0.7594,0.86003,0.86222,0.92164,0.62413,0.71667,0.78429,0.66093,0.80804,0,0.0010892,0.0010892,0.0010892
25,169.926,0.74843,0.76935,0.73457,0.82168,0,0.8657,0.86889,0.93153,0.7594,0.86003,0.86222,0.92164,0.62413,0.71667,0.78429,0.66093,0.80804,0,0.0010496,0.0010496,0.0010496
26,176.342,0.71948,0.80039,0.71587,0.81222,0,0.85282,0.89333,0.93223,0.75878,0.84695,0.88539,0.91948,0.60458,0.72519,0.80637,0.65745,0.80918,0,0.00101,0.00101,0.00101
27,182.794,0.71304,0.77835,0.7046,0.8083,0,0.83783,0.88,0.92844,0.75783,0.83532,0.87923,0.91995,0.59856,0.71578,0.78033,0.66929,0.80744,0,0.0009704,0.0009704,0.0009704
28,189.03,0.67286,0.73827,0.68546,0.81038,0,0.84927,0.88898,0.93357,0.75814,0.85174,0.88087,0.92497,0.61982,0.69898,0.80735,0.6648,0.80447,0,0.0009308,0.0009308,0.0009308
29,195.429,0.70055,0.75848,0.7051,0.81808,0,0.85397,0.88667,0.9353,0.75898,0.85171,0.88065,0.92936,0.63993,0.71934,0.81025,0.69074,0.80649,0,0.0008912,0.0008912,0.0008912
30,201.969,0.69088,0.73861,0.68838,0.81484,0,0.86126,0.86907,0.93437,0.76785,0.86178,0.85556,0.9283,0.62843,0.68013,0.77757,0.68972,0.80243,0,0.0008516,0.0008516,0.0008516
31,209.541,0.66795,0.736,0.67286,0.80641,0,0.86126,0.86907,0.93437,0.76785,0.86178,0.85556,0.9283,0.62843,0.68013,0.77757,0.68972,0.80243,0,0.000812,0.000812,0.000812
32,215.902,0.67184,0.73653,0.69005,0.80503,0,0.86617,0.88,0.9382,0.76214,0.86308,0.86849,0.92748,0.60315,0.70812,0.79545,0.63617,0.80353,0,0.0007724,0.0007724,0.0007724
33,222.456,0.76206,0.88852,0.77303,0.81323,0,0.88548,0.85913,0.93991,0.76728,0.87823,0.84947,0.92819,0.61218,0.69641,0.80791,0.60322,0.80119,0,0.0007328,0.0007328,0.0007328
34,228.744,0.72647,0.84299,0.69326,0.80669,0,0.90292,0.84889,0.94085,0.77956,0.89824,0.84352,0.9323,0.63872,0.67089,0.77477,0.59333,0.79877,0,0.0006932,0.0006932,0.0006932
35,235.244,0.67603,0.76064,0.68414,0.81311,0,0.89865,0.85111,0.9452,0.78072,0.89461,0.84444,0.93576,0.64575,0.69148,0.80342,0.59268,0.80272,0,0.0006536,0.0006536,0.0006536
36,241.611,0.65476,0.76749,0.6507,0.8055,0,0.89865,0.85111,0.9452,0.78072,0.89461,0.84444,0.93576,0.64575,0.69148,0.80342,0.59268,0.80272,0,0.000614,0.000614,0.000614
37,248.116,0.63411,0.73525,0.65421,0.80656,0,0.84099,0.90502,0.94544,0.7806,0.87875,0.84667,0.93381,0.62282,0.68561,0.79485,0.61789,0.80241,0,0.0005744,0.0005744,0.0005744
38,254.468,0.65611,0.73862,0.66497,0.80324,0,0.86564,0.87556,0.94431,0.77982,0.85846,0.86889,0.9336,0.6138,0.67205,0.75751,0.63924,0.80133,0,0.0005348,0.0005348,0.0005348
39,260.887,0.63672,0.70755,0.64346,0.80318,0,0.84354,0.91058,0.94312,0.78694,0.83316,0.89886,0.93241,0.62967,0.65586,0.74911,0.60714,0.79919,0,0.0004952,0.0004952,0.0004952
40,267.164,0.67148,0.7924,0.66348,0.812,0,0.84462,0.91803,0.94193,0.78439,0.84137,0.89576,0.93144,0.63493,0.65587,0.74928,0.59318,0.79909,0,0.0004556,0.0004556,0.0004556
41,275.252,0.67944,0.77445,0.72266,0.80696,0,0.84462,0.91803,0.94193,0.78439,0.84137,0.89576,0.93144,0.63493,0.65587,0.74928,0.59318,0.79909,0,0.000416,0.000416,0.000416
42,280.45,0.65646,0.77257,0.67371,0.79478,0,0.8437,0.89966,0.93932,0.77501,0.83785,0.89111,0.93003,0.62988,0.67785,0.75607,0.59408,0.7998,0,0.0003764,0.0003764,0.0003764
43,285.592,0.63573,0.70489,0.62815,0.79733,0,0.85805,0.88654,0.93982,0.76221,0.85554,0.87778,0.93093,0.61595,0.709,0.77243,0.62366,0.80319,0,0.0003368,0.0003368,0.0003368
44,290.726,0.65083,0.72808,0.64204,0.80863,0,0.85768,0.89724,0.94332,0.76808,0.85327,0.89166,0.93767,0.62604,0.69749,0.78208,0.61703,0.80165,0,0.0002972,0.0002972,0.0002972
45,295.82,0.63475,0.74273,0.63398,0.80475,0,0.84802,0.91758,0.94714,0.7755,0.90096,0.84889,0.94041,0.6265,0.67682,0.77539,0.59,0.79884,0,0.0002576,0.0002576,0.0002576
46,300.95,0.61012,0.70869,0.61356,0.79918,0,0.85099,0.91111,0.94855,0.78785,0.90559,0.85264,0.94409,0.63236,0.65427,0.7586,0.56764,0.79572,0,0.000218,0.000218,0.000218
47,306.04,0.60889,0.71811,0.62325,0.80818,0,0.85099,0.91111,0.94855,0.78785,0.90559,0.85264,0.94409,0.63236,0.65427,0.7586,0.56764,0.79572,0,0.0001784,0.0001784,0.0001784
48,311.151,0.61434,0.73003,0.60441,0.7979,0,0.84644,0.91866,0.94903,0.79378,0.89618,0.86222,0.94312,0.63226,0.64522,0.74912,0.55963,0.79498,0,0.0001388,0.0001388,0.0001388
49,316.344,0.60686,0.70897,0.6125,0.80503,0,0.85926,0.90901,0.94902,0.79237,0.85297,0.90444,0.94074,0.62804,0.64572,0.74808,0.55705,0.79479,0,9.92e-05,9.92e-05,9.92e-05
50,321.503,0.62831,0.74841,0.64239,0.80604,0,0.84542,0.92222,0.94889,0.79259,0.84375,0.912,0.9406,0.62911,0.64713,0.74697,0.55713,0.79528,0,5.96e-05,5.96e-05,5.96e-05
