epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1356.59,0.92142,1.36145,2.67895,0.97336,0,0.35093,0.28777,0.27727,0.19204,0.38835,0.26629,0.27738,0.17303,1.26451,1.55245,2.66385,1.10472,0,0.00034296,0.00034296,0.00034296
2,2648.32,0.84841,1.11273,2.99921,0.88199,0,0.76747,0.29889,0.29284,0.23012,0.76747,0.29889,0.29624,0.22502,0.8577,1.1159,3.21964,0.90193,0,0.000653996,0.000653996,0.000653996
3,3946.2,1.02842,1.30522,2.57109,0.90008,0,0.40508,0.38889,0.36256,0.24989,0.41109,0.39813,0.36744,0.28699,1.04194,1.14779,1.80484,0.90824,0,0.000917875,0.000917875,0.000917875
4,5263.42,0.91992,3.13979,1.93184,0.89214,0,0.60269,0.30721,0.37045,0.28004,0.59972,0.3061,0.36929,0.18786,0.89267,1.6674,1.75998,0.89452,0,0.0011346,0.0011346,0.0011346
5,6629.55,1.08495,2.57446,2.2385,0.93139,0,0.47898,0.29012,0.33184,0.19236,0.49085,0.27857,0.32024,0.15303,1.13435,1.83015,1.78549,1.00292,0,0.00105174,0.00105174,0.00105174
6,7821.31,1.1929,1.72588,3.47987,0.98108,0,0.18309,0.26545,0.11857,0.0718,0.18357,0.26748,0.11881,0.0664,1.13516,1.50958,2.68047,0.98453,0,0.00095743,0.00095743,0.00095743
7,9015.94,1.03069,1.2535,2.81878,0.93326,0,0.26074,0.29528,0.23939,0.18033,0.25976,0.29417,0.23886,0.18096,0.90625,1.12082,1.67719,0.91596,0,0.000863116,0.000863116,0.000863116
8,10235.9,0.85826,1.12909,1.92277,0.89856,0,0.26074,0.29528,0.23939,0.18033,0.25976,0.29417,0.23886,0.18096,0.90625,1.12082,1.67719,0.91596,0,0.000768802,0.000768802,0.000768802
9,11455,0.74715,0.99817,1.67914,0.88836,0,0.82421,0.30556,0.32107,0.25529,0.82421,0.30556,0.32009,0.25355,0.77313,1.05162,1.58412,0.89336,0,0.000674488,0.000674488,0.000674488
10,12675.8,0.71893,0.9951,1.65486,0.87104,0,0.855,0.30467,0.34765,0.28302,0.855,0.30467,0.34765,0.27036,0.72966,1.02796,1.39751,0.87374,0,0.000580174,0.000580174,0.000580174
11,13948.5,0.70799,0.994,1.47866,0.85963,0,0.31013,0.48726,0.39163,0.33104,0.31013,0.48726,0.39163,0.30675,0.70552,0.96078,1.34745,0.86472,0,0.00048586,0.00048586,0.00048586
12,15186.9,0.65794,0.90216,1.45082,0.84381,0,0.31013,0.48726,0.39163,0.33104,0.31013,0.48726,0.39163,0.30675,0.70552,0.96078,1.34745,0.86472,0,0.000391546,0.000391546,0.000391546
13,16411.3,0.65043,0.89866,1.32769,0.8438,0,0.43809,0.64341,0.54647,0.45245,0.43938,0.63732,0.54639,0.41904,0.6864,0.96178,1.26299,0.8573,0,0.000297232,0.000297232,0.000297232
14,17663.8,0.68311,0.92951,1.37533,0.84512,0,0.41579,0.75846,0.61196,0.51235,0.4169,0.76049,0.61225,0.47848,0.6591,0.92596,1.22942,0.85042,0,0.000202918,0.000202918,0.000202918
15,18898.5,0.61963,0.86163,1.32093,0.84676,0,0.36361,0.83791,0.61981,0.51905,0.36361,0.83791,0.62016,0.48776,0.65598,0.90885,1.2372,0.84792,0,0.000108604,0.000108604,0.000108604
