epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2361,2.04824,3.27279,3.88909,1.1468,0,0.01442,0.04444,0.00895,0.00461,0.05102,0.07111,0.02777,0.01366,1.17665,1.95717,2.77359,0.92185,0,8e-05,8e-05,8e-05
2,21.0006,1.5493,2.49796,2.57298,0.99172,0,0.72136,0.7824,0.80108,0.46983,0.71527,0.77333,0.78384,0.34261,1.4144,1.26091,1.49092,0.86928,0,0.000176436,0.000176436,0.000176436
3,25.6855,1.1168,1.39717,1.43982,0.85992,0,0.65031,0.85959,0.77664,0.52227,0.64467,0.84666,0.75947,0.39408,0.96917,1.04519,1.2559,0.80597,0,0.000268912,0.000268912,0.000268912
4,30.3136,1.06117,1.26685,1.13823,0.84113,0,0.6892,0.78444,0.77774,0.53646,0.71097,0.76889,0.77022,0.42881,1.0752,1.08219,1.22815,0.81822,0,0.000357428,0.000357428,0.000357428
5,34.8149,0.89025,1.03618,1.20383,0.82207,0,0.7581,0.83556,0.83532,0.5634,0.7515,0.83334,0.82765,0.49016,0.90358,1.0561,1.03488,0.8039,0,0.000441984,0.000441984,0.000441984
6,39.3429,0.93828,1.03829,1.03756,0.82682,0,0.81774,0.78222,0.83755,0.63383,0.80691,0.77078,0.82251,0.45141,0.94802,1.01344,1.13177,0.81557,0,0.00052258,0.00052258,0.00052258
7,43.7376,0.84585,0.99679,0.94207,0.82356,0,0.76501,0.84644,0.84193,0.62413,0.74108,0.83111,0.81875,0.46392,0.89061,1.12537,1.13455,0.80502,0,0.000599216,0.000599216,0.000599216
8,48.2789,0.79175,0.91157,0.94093,0.80989,0,0.73069,0.81778,0.82581,0.57705,0.762,0.76222,0.81589,0.46547,0.89332,0.96635,1.19448,0.79948,0,0.000671892,0.000671892,0.000671892
9,53.0848,0.83368,0.87595,0.85483,0.80817,0,0.71302,0.85025,0.83152,0.51558,0.71612,0.82444,0.82048,0.44915,0.94731,0.97974,1.47089,0.80664,0,0.000740608,0.000740608,0.000740608
10,57.5234,0.99128,1.12506,0.95141,0.82476,0,0.79071,0.84222,0.88217,0.65039,0.77534,0.82667,0.86418,0.50141,0.87072,0.98869,0.87544,0.80758,0,0.000805364,0.000805364,0.000805364
